file,manner,path,agent,itemset,blocktype,blocknum
wheelie_circle_1.mp4,wheelie,circle,1,W,P,1
rotate_circle_3.mp4,rotate,circle,3,W,P,1
rock_circle_2.mp4,rock,circle,2,W,P,1
sine_circle_8.mp4,sine,circle,8,W,P,1
halfrotate_past_6.mp4,halfrotate,past,6,X,A,2
stopstart_under_6.mp4,stopstart,under,6,X,A,2
bounce_behind_6.mp4,bounce,behind,6,X,A,2
vibrate_underfar_6.mp4,vibrate,underfar,6,X,A,2
rotate_to_8.mp4,rotate,to,8,W,D,3
sine_tofar_2.mp4,sine,tofar,2,W,D,3
wheelie_circle_3.mp4,wheelie,circle,3,W,D,3
rock_onto_1.mp4,rock,onto,1,W,D,3
none_loc7_7.mp4,none,loc7,7,Z,C,4
none_loc8_5.mp4,none,loc8,5,Z,C,4
none_loc5_4.mp4,none,loc5,4,Z,C,4
none_loc6_6.mp4,none,loc6,6,Z,C,4
wheelie_to_8.mp4,wheelie,to,8,W,S,5
wheelie_to_8.mp4,wheelie,to,8,W,S,5
wheelie_to_8.mp4,wheelie,to,8,W,S,5
wheelie_to_8.mp4,wheelie,to,8,W,S,5
vibrate_behind_6.mp4,vibrate,behind,6,X,M,6
vibrate_past_4.mp4,vibrate,past,4,X,M,6
vibrate_under_5.mp4,vibrate,under,5,X,M,6
vibrate_underfar_7.mp4,vibrate,underfar,7,X,M,6
rotate_circle_2.mp4,rotate,circle,2,W,M,7
rotate_to_1.mp4,rotate,to,1,W,M,7
rotate_tofar_3.mp4,rotate,tofar,3,W,M,7
rotate_onto_8.mp4,rotate,onto,8,W,M,7
bounce_under_4.mp4,bounce,under,4,X,S,8
bounce_under_4.mp4,bounce,under,4,X,S,8
bounce_under_4.mp4,bounce,under,4,X,S,8
bounce_under_4.mp4,bounce,under,4,X,S,8
none_loc2_8.mp4,none,loc2,8,Y,C,9
none_loc3_1.mp4,none,lo3,1,Y,C,9
none_loc3_2.mp4,none,loc3,2,Y,C,9
none_loc4_3.mp4,none,loc4,3,Y,C,9
halfrotate_underfar_7.mp4,halfrotate,underfar,7,X,D,10
bounce_past_4.mp4,bounce,past,4,X,D,10
vibrate_under_6.mp4,vibrate,under,6,X,D,10
stopstart_behind_5.mp4,stopstart,behind,5,X,D,10
rotate_circle_1.mp4,rotate,circle,1,W,A,11
wheelie_onto_1.mp4,wheelie,onto,1,W,A,11
rock_to_1.mp4,rock,to,1,W,A,11
sine_tofar_1.mp4,sine,tofar,1,W,A,11
stopstart_underfar_7.mp4,stopstart,underfar,7,X,P,12
vibrate_underfar_4.mp4,vibrate,underfar,4,X,P,12
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,P,12
bounce_underfar_6.mp4,bounce,underfar,6,X,P,12
